Artist,Album,Round,Selector,Year,Total Tracks,Total Time,Ave. Track Time,Gender of Lead Singer,,Origin City,State (if USA),Country,Record Label,Parent Label,AFW Fave,DC Fave,EB Fave,IP Fave,JE Fave,JD Fave,Most Popular Song
Stevie Wonder,Songs In The Key Of Life,1,DC,1976,21,105,5.0,Male,1,Detroit,MI,USA,Motown Records,Universal Music Group,Pastime Paradise ,I wish,As,As,All Day Sucker,,As
Talking Heads,Remain in Light,1,JE,1980,8,40,5.0,Male,1,New York,NY,USA,Sire Records,Warner Music Group,The Great Curve,Listening wind,the famous one,Once In A Lifetime,Born Under Punches,,#N/A
Destroyer,Kaputt,1,IP,2011,9,50,5.6,Male,1,Vancouver,NotUSA,Canada,Merge Records,Independent,Poor in Love,Savage night at the opera,Kaputt,Kaputt,Chinatown,,Kaputt
Bruce Springstein,Wrecking Ball,1,AFW,2012,13,61,4.7,Male,1,Belmar,NJ,USA,Columbia Records,Sony Music Entertainment,Shackled and Drawn,Death to my hometown,wrecking ball,We Take Care Of Our Own,Wrecking Ball,,wrecking ball
Ziggy Marley,Rebellion Rises,1,EB,2018,10,35,3.5,Male,1,Kingston,NotUSA,Jamaica,Tuff Gong Worldwide,Independent,Your Pain is Mine,I will be glad,Change your world,The Storm Is Coming,Change Your World,,Change your world
Taylor Swift,Lover,2,AFW,2019,18,61,3.4,Female,0,Nashville,TN,USA,Republic Records,Universal Music Group,You Need to Calm Down,You need to calm down,paper rings,I Forgot That You Existed,Cruel Summer,,You Need to Calm Down
Frank Sinatra,Sinatra At The Sands,2,JE,1966,21,71,3.4,Male,1,Hoboken,NJ,USA,Reprise Records,Warner Music Group,Angel Eyes,Fly me to the moon,my way,It Was A Very Good Year,The Tea Break/You Make Me Feel So Young,,#N/A
Dwight Yoakam,"Guitars, Cadillacs, Etc., Etc.",2,EB,1983,10,31,3.1,Male,1,Los Angeles,CA,USA,Warner Records,Warner Music Group,Bury Me,"Guitars, Cadillacs",guitars cadillacs,Guitars Cadillacs,Honky Tonk Man,,guitars cadillacs
Kate Bush,Hounds Of Love,2,JD,1985,12,47,3.9,Female,0,Bexleyheath,NotUSA,UK,EMI,Warner Music Group,Cloud busting,Running up that hill,running,Running Up That Hill,Running Up That Hill,,Running up that hill
Harry Nilsson,The Point!,2,IP,1970,14,32,2.3,Male,1,Los Angeles,CA,USA,RCA Victor,Sony Music Entertainment,Me and My Arrow,Everything's got 'em,me and my arrow,Me and My Arrow,Arrow,,Me and My Arrow
The Breeders,Last Splash,2,DC,1993,15,39,2.6,Female,0,Dayton,OH,USA,4AD Ltd,Independent,Divine Hammer,Roi,cannonball,Cannonball,Cannonball,,cannonball
Beyoncé ,COWBOY CARTER,3,DC,2024,27,78,2.9,Female,0,Houston,TX,USA,Columbia Records,Sony Music Entertainment,Blackbird,Blackbird,undecided. I like the use of album form,II MOST WANTED,Blackbird,,Blackbird
The Weakerthans,Left and Leaving,3,JD,2000,12,51,4.3,Male,1,Winipeg,NotUSA,Canada,Epitaph Records,Independent,Watermark ,My favorite chords,Aside,This Is A Fire Door Never Left Open,Aside,,Aside
Jeff Rosenstock,POST-,3,IP,2017,10,40,4.0,Male,1,Baldwin,NY,USA,Quote Unquote/Polyvinyl,Independent,All This Useless Energy,USA,Let Them Win,Let Them Win,Let Them Win,,Let Them Win
Southern Culture on the Skids,Bootleggers Choice,3,JE,2018,17,60,3.5,Male,1,Chapel Hill,NC,USA,Kudzu Records,Independent,Fried Chicken and Gasoline ,Voodoo Cadillac,Banana Pudding,Banana Pudding,Soul City,,Banana Pudding
Beach Boys,Pet Sounds,3,EB,1966,13,37,2.8,Male,1,Hawthorne,CA,USA,Capitol Records,Universal Music Group,That's not Me,Wouldn't it be nice,God Only Knows,Wouldn't It Be Nice,God Only Knows,,Wouldn't it be nice
Beatles,Rubber Soul (Remastered 2009),3,AFW,1965,14,35,2.5,Male,1,Liverpool,NotUSA,UK,Capitol/EMI,Universal Music Group,I'm Looking Through You,NorwegIP wood,tough choice,NorwegIP Wood,Wait,,NorwegIP wood
The Killers,Hot Fuss,4,EB,2003,12,49,4.1,Male,1,Las Vegas,NV,USA,Island Records,Universal Music Group,Smile Like You Mean It,All these things that I've done,all these things that I've done,All These Things That I Have Done,,,All these things that I've done
Beck,Odelay,4,JE,1996,14,52,3.7,Male,1,Los Angeles,CA,USA,DGC Records,Universal Music Group,Where It's At,Hotwax,Where It's At,Jack-Ass,,,Where It's At
MF DOOM,Operation: Doomsday (Complete),4,DC,1999,21,69,3.3,Male,1,Long Beach,NY,USA,Fondle 'Em Records,Independent,Rhymes like Dimes ,"Tick, tick",Red and Gold,Red and Gold,,,Red and Gold
Deltron,Deltron 3030,4,AFW,2000,24,73,3.0,Male,1,Oakland,CA,USA,75 Ark,Independent,Virus,Mastermind,I love the concept,3030,,,#N/A
IDLES,Joy as an Act of Resistance.,4,IP,2018,12,42,3.5,Male,1,Bristol,NotUSA,UK,Partisan Records,Independent,Television ,Never fight a man with a perm,great title,Samaritans,,,#N/A
Frank Black ,Teenager of the Year,4,JD,1994,22,62,2.8,Male,1,Boston,MA,USA,4AD Ltd,Independent,Fiddle Riddle ,Caliskan,cant choose. all are good,Freedom Rock,,,#N/A
The Roots,Things Fall Apart,5,EB,1999,18,68,3.8,Male,1,Philadelphia,PA,USA,MCA Records,Universal Music Group,,The Next Movement,,Dynamite!,,,#N/A
