id,name,artist,album,album_type,release_date,popularity,duration_ms,duration_min,explicit,track_number,isrc,spotify_url,added_at,recco_acousticness,recco_danceability,recco_energy,recco_instrumentalness,recco_liveness,recco_loudness,recco_speechiness,recco_tempo,recco_valence
4IHc6SzGPnzSPuHVEPzpJc,Wouldn't It Be Nice,The Beach Boys,Pet Sounds,album,1966-05-16,69.0,153240,2.55,False,1,USCA20000220,https://open.spotify.com/track/4IHc6SzGPnzSPuHVEPzpJc,2024-08-16T17:28:09Z,0.718,0.392,0.629,3.65e-06,0.129,-7.056,0.0334,124.511,0.72
2xNZK0n7SV7qvV1AlH30Dp,You Still Believe In Me,The Beach Boys,Pet Sounds,album,1966-05-16,49.0,156266,2.6,False,2,USCA29600671,https://open.spotify.com/track/2xNZK0n7SV7qvV1AlH30Dp,2024-08-16T17:28:09Z,0.268,0.427,0.335,0.000563,0.132,-10.032,0.0282,88.533,0.208
0j0y0KnYpbNSiJ0YBwRx9E,That's Not Me,The Beach Boys,Pet Sounds,album,1966-05-16,49.0,151426,2.52,False,3,USCA29600670,https://open.spotify.com/track/0j0y0KnYpbNSiJ0YBwRx9E,2024-08-16T17:28:09Z,0.732,0.615,0.538,5.38e-05,0.0792,-8.494,0.0276,115.026,0.485
6BWZ4BPsftc9v7sUMFOAr4,Don't Talk (Put Your Head On My Shoulder),The Beach Boys,Pet Sounds,album,1966-05-16,49.0,178440,2.97,False,4,USCA29600661,https://open.spotify.com/track/6BWZ4BPsftc9v7sUMFOAr4,2024-08-16T17:28:09Z,0.246,0.249,0.184,0.00761,0.0849,-11.84,0.0339,61.043,0.0692
56rf6DuAv3AGpLIhXVagTM,I'm Waiting For The Day,The Beach Boys,Pet Sounds,album,1966-05-16,47.0,186760,3.11,False,5,USCA29600666,https://open.spotify.com/track/56rf6DuAv3AGpLIhXVagTM,2024-08-16T17:28:09Z,0.469,0.364,0.495,0.00116,0.395,-9.317,0.0374,166.893,0.544
1kl9i2FGtcO34whpvwZb18,Let's Go Away For Awhile,The Beach Boys,Pet Sounds,album,1966-05-16,46.0,144706,2.41,False,6,USCA29600667,https://open.spotify.com/track/1kl9i2FGtcO34whpvwZb18,2024-08-16T17:28:09Z,0.118,0.33,0.242,0.73,0.0785,-16.537,0.027,87.456,0.0859
72fAewq2UVWSf3RjtqICdS,Sloop John B,The Beach Boys,Pet Sounds,album,1966-05-16,56.0,179493,2.99,False,7,USCA29600669,https://open.spotify.com/track/72fAewq2UVWSf3RjtqICdS,2024-08-16T17:28:09Z,0.139,0.616,0.689,0.0,0.0822,-6.514,0.0261,125.933,0.942
17QTsL4K9B9v4rI8CAIdfC,God Only Knows,The Beach Boys,Pet Sounds,album,1966-05-16,67.0,174906,2.92,False,8,USCA29600662,https://open.spotify.com/track/17QTsL4K9B9v4rI8CAIdfC,2024-08-16T17:28:09Z,0.154,0.44,0.462,0.0,0.0529,-9.338,0.0382,116.033,0.31
2NqMUVziSGdz1MizMFu3aT,I Know There's An Answer,The Beach Boys,Pet Sounds,album,1966-05-16,46.0,198333,3.31,False,9,USCA29600665,https://open.spotify.com/track/2NqMUVziSGdz1MizMFu3aT,2024-08-16T17:28:09Z,0.366,0.595,0.711,2.82e-05,0.111,-6.19,0.0287,115.632,0.733
2QHf2UijcOOpLgEsA3YOjm,Here Today,The Beach Boys,Pet Sounds,album,1966-05-16,45.0,187360,3.12,False,10,USCA29600663,https://open.spotify.com/track/2QHf2UijcOOpLgEsA3YOjm,2024-08-16T17:28:09Z,0.507,0.526,0.644,1.51e-05,0.223,-7.927,0.0381,121.297,0.608
